accuracy,amt_w_service,avg_rating,bathrooms,bedrooms,can_instant_book,checkin,cleanliness,communication,currency,guest_satisfication,host_id,host_reviews,is_business_travel_ready,is_fully_refundable,is_new_listing,is_superhost,lat,listing_name,lng,localized_city,localized_neighborhood,location,monthly_price_factor,num_beds,person_capacity,picture_count,price,rate_type,response_rate,response_time,reviews_count,room_type_category,star_rating,url,value,weekly_price_factor
10,215,4.85,1.0,1,True,10,10,10,CAD,97,117671909,107,False,True,False,True,49.2676,1BDR Bright cozy unit- Wifi-Kitchen-Balcony,-123.18278000000001,Vancouver,Kitsilano,10,0.8,1,2,12,215,nightly,94,within an hour,27,entire_home,5.0,https://www.airbnb.com/rooms/17764717,9,1.0
10,210,5.0,1.0,1,True,10,9,10,CAD,100,253275576,3,False,True,False,False,49.27069,Olympic Village Modern 1 Bedroom with 1 Parking,-123.10108000000001,Vancouver,Mount Pleasant,10,0.9,2,4,7,210,nightly,100,within an hour,3,entire_home,5.0,https://www.airbnb.com/rooms/33610559,10,0.9
9,211,4.7,1.0,2,False,9,10,10,CAD,94,64045071,170,False,True,False,False,49.28351,Centrally Located Downtown Condominium,-123.12026000000002,Vancouver,Downtown Vancouver,10,0.77,2,5,19,211,nightly,100,within an hour,13,entire_home,4.5,https://www.airbnb.com/rooms/32503415,9,0.97
10,219,4.9,1.0,0,False,10,10,10,CAD,98,4184815,91,False,True,False,True,49.25824,Sleek Contemporary Studio,-123.104294,Vancouver,Mount Pleasant,10,0.9,2,4,27,219,nightly,100,within a few hours,49,entire_home,5.0,https://www.airbnb.com/rooms/16243231,10,0.95
10,215,4.85,1.0,2,False,10,10,10,CAD,97,103562361,44,False,True,False,False,49.2763,2BR apt in the heart of yaletown with free parking,-123.12312,Vancouver,Downtown Vancouver,10,0.7000000000000001,3,3,8,215,nightly,100,within an hour,44,entire_home,5.0,https://www.airbnb.com/rooms/15951675,10,0.9
10,210,5.0,1.0,1,False,10,10,10,CAD,100,1777294,109,False,True,False,True,49.28604,Beach Home in the Sky - Pvt Bedroom & Washroom,-123.13988,Vancouver,West End,10,0.8,1,2,24,210,nightly,100,within an hour,56,private_room,5.0,https://www.airbnb.com/rooms/3331694,10,0.95
10,220,4.85,1.0,1,False,10,10,10,CAD,97,57056932,31,False,True,False,True,49.267540000000004,"Spacious, Private Suite in the core of Kitsilano",-123.16572,Vancouver,Kitsilano,10,0.95,2,4,9,220,nightly,100,within an hour,31,entire_home,5.0,https://www.airbnb.com/rooms/25166793,9,1.0
10,219,4.85,1.0,2,True,10,10,10,CAD,97,113772427,34,False,True,False,False,49.273999999999994,Nice View/Bright n quiet Home in heart of Yaletown,-123.12628000000001,Vancouver,Downtown Vancouver,10,0.9,2,4,35,219,nightly,100,within an hour,22,entire_home,5.0,https://www.airbnb.com/rooms/26343726,9,0.98
10,220,4.85,1.0,2,True,10,10,10,CAD,97,241277666,18,False,True,False,False,49.26655,Charming Apartment Near the Sea Wall,-123.12266000000001,Vancouver,Fairview,10,0.95,3,6,25,220,nightly,100,within an hour,18,entire_home,5.0,https://www.airbnb.com/rooms/32162289,10,0.95
9,219,4.55,1.0,1,False,9,9,9,CAD,91,252013056,13,False,True,False,False,49.27892,★FIVE STAR★ Hotel Like Apt Downtown / FREE parking,-123.10909,Vancouver,Downtown Vancouver,9,1.0,2,4,38,219,nightly,100,within an hour,13,entire_home,4.5,https://www.airbnb.com/rooms/33451799,9,1.0
10,210,4.8,1.5,2,True,10,10,9,CAD,96,234170711,40,False,True,False,True,49.26039,City Hall Entire Duplex close to EVERYTHING!,-123.11209,Vancouver,Mount Pleasant,10,0.85,3,6,50,210,nightly,100,within an hour,11,entire_home,5.0,https://www.airbnb.com/rooms/33433317,9,0.95
0,219,,1.0,1,True,0,0,0,CAD,0,257497355,0,False,True,True,False,49.27518,The best spot in downtown Vancouver,-123.12746000000001,Vancouver,Downtown Vancouver,0,1.0,1,2,10,219,nightly,100,within an hour,0,entire_home,,https://www.airbnb.com/rooms/34181533,0,1.0
9,210,4.6,1.0,1,True,10,10,9,CAD,92,66964288,119,False,True,False,False,49.25991,Attic loft w/ private rooftop- AC,-123.10951999999999,Vancouver,Mount Pleasant,10,1.0,2,3,21,210,nightly,100,within an hour,30,entire_home,4.5,https://www.airbnb.com/rooms/18566946,9,1.0
10,206,4.7,1.0,0,True,10,10,10,CAD,94,8295546,78,False,True,False,True,49.28125,Bright Studio in Gastown,-123.10713,Vancouver,Downtown Vancouver,9,0.9,1,2,14,206,nightly,100,within an hour,77,entire_home,4.5,https://www.airbnb.com/rooms/2977617,9,0.9
10,200,4.65,1.0,1,True,10,10,10,CAD,93,81329219,18,False,True,False,True,49.27833,Live in the heart of the city ......,-123.10696999999999,Vancouver,Downtown Vancouver,10,1.0,2,3,17,200,nightly,100,within an hour,6,entire_home,4.5,https://www.airbnb.com/rooms/33632031,10,0.9
10,200,4.85,1.0,1,True,10,10,10,CAD,97,5335111,125,False,True,False,True,49.27019,BEST LOCATION- ZEN/COMFY/COSY PLACE,-123.15001000000001,Vancouver,Kitsilano,10,0.85,1,2,32,200,nightly,100,within an hour,116,entire_home,5.0,https://www.airbnb.com/rooms/6349627,9,0.9
10,202,4.95,1.0,1,False,10,10,10,CAD,99,31102391,170,False,True,False,True,49.27794,Townhouse w Rooftop deck & pking -BusLic# (Phone number hidden by Airbnb),-123.10295,Vancouver,Downtown Vancouver,9,0.67,1,3,21,202,nightly,100,within an hour,51,entire_home,5.0,https://www.airbnb.com/rooms/7109101,10,0.9
10,210,4.6,1.0,2,False,10,8,10,CAD,92,3120923,143,False,True,False,False,49.25715,2Bdrm home in the heart of Vancouer,-123.11961000000001,Vancouver,Fairview,10,0.5,2,4,13,210,nightly,100,within an hour,140,entire_home,4.5,https://www.airbnb.com/rooms/6461288,9,0.8
10,200,4.95,2.0,3,False,10,10,10,CAD,99,135463390,83,False,True,False,True,49.27479,30 Day- Yaletown Central Waterview  3 Bedroom Pool,-123.12393,Vancouver,Yaletown,10,1.0,3,6,17,200,nightly,100,within an hour,53,entire_home,5.0,https://www.airbnb.com/rooms/19507901,10,1.0
10,219,4.95,2.0,2,True,10,10,10,CAD,99,247042900,22,False,False,False,True,49.27949,Exceptional Luxury Apartment in the City Center,-123.10885,Vancouver,Downtown Vancouver,10,1.0,2,6,60,219,nightly,100,within an hour,22,entire_home,5.0,https://www.airbnb.com/rooms/32839148,9,1.0
10,200,4.75,1.0,1,False,10,9,10,CAD,95,7672375,52,False,True,False,False,49.29203,"PNW Suite-Stanley Park, secure parking, dogs :)",-123.13581,Vancouver,West End,10,1.0,1,4,14,200,nightly,100,within a day,46,entire_home,5.0,https://www.airbnb.com/rooms/21462888,10,1.0
10,200,4.9,1.0,0,False,10,10,10,CAD,98,31740688,38,False,True,False,True,49.27865,Gorgeous 720 sqft LOFT in downtown Vancouver,-123.12104,Vancouver,Downtown Vancouver,10,0.55,1,2,19,200,nightly,100,within an hour,33,entire_home,5.0,https://www.airbnb.com/rooms/24537852,10,0.95
10,200,4.85,1.0,1,True,10,10,10,CAD,97,162963658,30,False,True,False,True,49.27947,Luxury condo with view on the BEST block of DT!,-123.12565,Vancouver,Downtown Vancouver,10,0.55,3,4,9,200,nightly,100,within a few hours,29,entire_home,5.0,https://www.airbnb.com/rooms/22295849,9,0.9
10,200,4.85,1.0,2,False,10,10,10,CAD,97,9933254,110,False,True,False,True,49.275909999999996,2 Bedrooms Suite!,-123.06747,Vancouver,Grandview-Woodland,10,1.0,2,4,7,200,nightly,100,within an hour,110,entire_home,5.0,https://www.airbnb.com/rooms/15433588,10,1.0
10,200,4.6,2.0,2,True,9,9,9,CAD,92,88118898,115,False,True,False,False,49.27838,Best luxury condo in Vancouver,-123.1074,Vancouver,Downtown Vancouver,10,0.65,2,4,34,200,nightly,100,within an hour,115,entire_home,4.5,https://www.airbnb.com/rooms/16406292,9,0.85
10,200,4.9,1.0,1,True,10,10,10,CAD,98,6197538,41,False,False,False,True,49.278812,Modern and Funky Boutique Home in Trendy Chinatown,-123.09893000000001,Vancouver,Downtown Eastside,9,1.0,1,4,41,200,nightly,100,within an hour,32,entire_home,5.0,https://www.airbnb.com/rooms/27903066,10,1.0
10,202,4.75,1.0,1,True,9,10,10,CAD,95,200167539,52,False,True,False,False,49.28529,Vogue Condo at the Heart of Vancouver Retail Spots,-123.12391000000001,Vancouver,West End,10,1.0,1,2,22,202,nightly,91,within an hour,52,entire_home,5.0,https://www.airbnb.com/rooms/26633266,9,1.0
10,200,4.8,1.0,2,False,10,10,10,CAD,96,82378240,164,False,True,False,True,49.24757,Bright and central garden level apartment,-123.07915,Vancouver,Kensington-Cedar Cottage,9,0.8,2,4,26,200,nightly,100,within an hour,162,entire_home,5.0,https://www.airbnb.com/rooms/14809328,10,0.9
10,180,4.95,2.0,2,True,10,10,10,CAD,99,197782858,25,False,True,False,False,49.26507,Home in the heart of Kitsilano,-123.16875,Vancouver,Kitsilano,10,1.0,2,4,18,180,nightly,100,within an hour,25,entire_home,5.0,https://www.airbnb.com/rooms/26303866,10,1.0
10,206,4.65,1.0,2,False,9,9,10,CAD,93,53624500,58,False,True,False,False,49.274609999999996,YALETOWN LIVING AT ITS FINEST,-123.12218,Vancouver,Yaletown,10,0.75,3,6,19,206,nightly,100,within an hour,54,entire_home,4.5,https://www.airbnb.com/rooms/10566812,9,0.96
10,200,4.85,1.0,1,True,10,9,10,CAD,97,8522435,142,False,True,False,False,49.260259999999995,Beautiful ground level suite in Character home,-123.07948,Vancouver,Mount Pleasant,10,0.77,2,4,21,200,nightly,100,within an hour,141,entire_home,5.0,https://www.airbnb.com/rooms/7583407,9,0.85
10,185,4.9,2.0,3,True,10,10,10,CAD,98,126002388,152,False,True,False,True,49.24917,Quaint family style home in quite neighbourhood,-123.08165,Vancouver,Kensington-Cedar Cottage,10,0.72,3,6,13,185,nightly,100,within an hour,99,entire_home,5.0,https://www.airbnb.com/rooms/18270850,10,0.85
9,188,4.1,1.0,1,True,9,8,9,CAD,82,238125493,47,False,True,False,False,49.28695,Entire Condo Best Location Downtown Vancouver!,-123.12443,Vancouver,Downtown Vancouver,10,0.8,2,4,13,188,nightly,95,within an hour,11,entire_home,4.0,https://www.airbnb.com/rooms/32169735,8,0.9
9,185,4.4,1.0,1,True,9,9,9,CAD,88,28348074,228,False,True,False,False,49.2804,Beautiful Condo in Downtown Vancouver!,-123.10746999999999,Vancouver,Downtown Vancouver,9,0.95,2,4,13,185,nightly,100,within an hour,39,entire_home,4.5,https://www.airbnb.com/rooms/27316823,9,0.95
9,183,4.5,1.0,1,True,9,9,10,CAD,90,260294406,6,False,True,False,False,49.28014,Modern Downtown Loft w/ Parking,-123.10701999999999,Vancouver,Downtown Vancouver,8,0.95,1,3,11,183,nightly,100,within an hour,6,entire_home,4.5,https://www.airbnb.com/rooms/34482447,9,0.95
9,202,4.65,2.0,2,True,9,9,8,CAD,93,248327767,22,False,True,False,True,49.27652,Downtown Luxury 2 bed 2 bath on top of the city!!,-123.12233,Vancouver,Downtown Vancouver,10,1.0,2,4,13,202,nightly,94,within an hour,14,entire_home,4.5,https://www.airbnb.com/rooms/33098715,9,1.0
10,195,4.7,1.0,1,True,10,10,10,CAD,94,74865763,561,False,True,False,False,49.28821,Downtown Vancouver Penthouse Private Room 3002,-123.12416,Vancouver,Downtown Vancouver,10,1.0,1,2,6,195,nightly,100,within an hour,134,private_room,4.5,https://www.airbnb.com/rooms/17878232,9,1.0
10,192,4.9,2.0,2,True,10,10,10,CAD,98,48787301,434,False,True,False,False,49.28799,"OCEAN, MOUNTAIN, HARBOUR PLANE VIEWS -2BED/2BATH",-123.11667,West Vancouver,Coal Harbour,10,0.9,3,4,20,192,nightly,100,within an hour,16,entire_home,5.0,https://www.airbnb.com/rooms/32669763,10,0.95
10,190,4.85,1.0,1,False,10,10,10,CAD,97,243223682,13,False,True,False,False,49.27869000000001,Family Friendly Loft in Downtown Vancouver,-123.12062,Vancouver,Downtown Vancouver,10,1.0,2,5,16,190,nightly,100,within an hour,13,entire_home,5.0,https://www.airbnb.com/rooms/33431700,9,0.85
10,180,4.85,1.0,1,True,10,10,10,CAD,97,130786393,102,False,True,False,False,49.26759000000001,1BR GROUND LEVEL APT KITSILANO - WALK TO THE OCEAN,-123.17408,Vancouver,Kitsilano,10,1.0,2,4,11,180,nightly,100,within an hour,60,entire_home,5.0,https://www.airbnb.com/rooms/18895292,9,1.0
9,180,4.9,1.0,1,True,10,10,10,CAD,98,247859050,18,False,True,False,False,49.27803,"Beautiful entire condo, ocean view in Yaletown!",-123.1088,Vancouver,Downtown Vancouver,10,0.85,1,4,8,180,nightly,100,within an hour,18,private_room,5.0,https://www.airbnb.com/rooms/32939937,10,0.95
10,199,4.95,1.0,1,False,10,10,10,CAD,99,95202326,85,False,True,False,True,49.27786,"Modern, Airy & Bright Flat in Chinatown",-123.10015,Vancouver,Chinatown,9,0.8,2,3,17,199,nightly,100,within an hour,82,entire_home,5.0,https://www.airbnb.com/rooms/23257689,10,0.9
10,199,4.75,1.0,0,False,9,10,10,CAD,95,21255871,199,False,True,False,False,49.28087,Chinatown Gastown 99 Walk Score,-123.09903999999999,Vancouver,Downtown Eastside,9,0.85,2,4,56,199,nightly,100,within an hour,45,entire_home,5.0,https://www.airbnb.com/rooms/26956652,10,1.0
9,190,4.65,2.0,2,True,9,10,10,CAD,93,198226128,4,False,True,False,False,49.21128,2bed 2bath Brand NEW Luxury condo beside Skytrain!,-123.11575,Vancouver,Marpole,10,0.9,3,6,15,190,nightly,100,within an hour,3,entire_home,4.5,https://www.airbnb.com/rooms/33318948,9,1.0
10,188,4.85,1.0,1,True,10,9,10,CAD,97,162834463,15,False,True,False,False,49.27086,Vancouver Luxury Beach Loft w/ Parking,-123.16713999999999,Vancouver,Kitsilano,10,1.0,1,2,12,188,nightly,100,within an hour,13,entire_home,5.0,https://www.airbnb.com/rooms/31539143,10,1.0
10,200,4.85,1.0,2,False,10,10,10,CAD,97,25391127,163,False,True,False,True,49.261540000000004,Mt Pleasant - Large 2 Bedroom Suite,-123.08984,Vancouver,Mount Pleasant,10,0.9,2,4,9,200,nightly,100,within a few hours,163,entire_home,5.0,https://www.airbnb.com/rooms/8743634,10,0.95
10,190,5.0,1.0,2,True,10,10,10,CAD,100,41498749,166,False,True,False,True,49.28256,"Gastown, Boutique 2 bedroom",-123.10473,Vancouver,Gastown,9,1.0,2,4,19,190,nightly,96,within an hour,9,entire_home,5.0,https://www.airbnb.com/rooms/32611986,10,1.0
