accuracy,amt_w_service,avg_rating,bathrooms,bedrooms,can_instant_book,checkin,cleanliness,communication,currency,guest_satisfication,host_id,host_reviews,is_business_travel_ready,is_fully_refundable,is_new_listing,is_superhost,lat,listing_name,lng,localized_city,localized_neighborhood,location,monthly_price_factor,num_beds,person_capacity,picture_count,price,rate_type,response_rate,response_time,reviews_count,room_type_category,star_rating,url,value,weekly_price_factor
9,24,4.67,1.0,1.0,True,10,9,10,CAD,93,1493999,796,False,False,False,True,21.15569,"Private room, Awesome Location Center, A/C, WiFi",-86.82761,Cancún,,10,0.86,1,2,23,24,nightly,100,within an hour,267,private_room,4.5,https://www.airbnb.com/rooms/11969615,9,0.9500000000000001
10,24,4.75,1.0,2.0,True,10,9,10,CAD,95,91309199,180,False,False,False,True,21.15737,Aparment for all the family in Cancun´s downtown,-86.83975,Cancún,,10,0.79,2,5,27,24,nightly,97,within an hour,178,entire_home,5.0,https://www.airbnb.com/rooms/17625889,10,0.93
10,17,4.87,1.5,1.0,True,10,10,10,CAD,97,745982,778,False,False,False,False,21.14892,Casa Hulia Spacious Room,-86.84544,Cancún,,10,0.9,1,2,22,17,nightly,90,within an hour,290,private_room,5.0,https://www.airbnb.com/rooms/155114,10,0.9500000000000001
10,24,4.88,1.0,1.0,True,10,10,10,CAD,98,13166302,277,False,False,False,True,21.15151,༄Private Room in Cancún Q·Rooms,-86.842339,Cancún,,10,0.79,1,2,15,24,nightly,100,within an hour,165,private_room,5.0,https://www.airbnb.com/rooms/6415019,10,0.93
9,14,4.69,2.0,1.0,False,10,9,10,CAD,94,30771414,278,False,False,False,True,21.15542,Bedroom in a nice & Quitly place,-86.85167,Cancún,,9,0.7000000000000001,1,2,11,14,nightly,86,within a few hours,179,private_room,4.5,https://www.airbnb.com/rooms/5927141,9,0.85
10,17,4.91,1.0,1.0,False,10,10,10,CAD,98,745982,778,False,False,False,False,21.14897,Casa Hulia Palapa Room,-86.84413,Cancún,,10,0.9,1,2,23,17,nightly,90,within an hour,321,private_room,5.0,https://www.airbnb.com/rooms/1467695,10,0.9500000000000001
10,20,4.83,2.0,1.0,True,10,9,10,CAD,97,66920082,584,False,False,False,True,21.1444,Common people #4 Nature,-86.84993,Cancún,,9,1.0,1,2,16,20,nightly,100,within an hour,114,private_room,5.0,https://www.airbnb.com/rooms/19486864,10,1.0
10,22,4.75,1.0,1.0,True,10,9,10,CAD,95,43548195,317,False,False,False,True,21.13566,C1 ✪ Renovado Mini Room A/C laguna y mar,-86.76741,Cancún,,10,0.88,1,2,19,22,nightly,100,within an hour,51,private_room,5.0,https://www.airbnb.com/rooms/20776319,10,0.88
9,20,4.37,1.0,1.0,True,10,9,10,CAD,87,48106570,1845,False,False,False,False,21.178434,"Cancun, the best location",-86.815224,Cancún,,9,1.0,2,2,23,20,nightly,99,within an hour,111,private_room,4.5,https://www.airbnb.com/rooms/11618934,9,1.0
10,14,4.86,1.0,1.0,False,10,10,10,CAD,97,57566111,271,False,False,False,True,21.16171,Majo's 3 Confortable  recamara,-86.85887,Cancun ,,9,0.73,1,2,10,14,nightly,100,within an hour,125,entire_home,5.0,https://www.airbnb.com/rooms/11890726,10,0.9
8,20,4.26,1.0,1.0,True,8,9,8,CAD,85,54884467,513,False,False,False,False,21.14813,Cancun Malecon Americas 2,-86.82572,Cancún,,9,1.0,1,2,13,20,nightly,94,within an hour,250,private_room,4.5,https://www.airbnb.com/rooms/10632308,8,0.9
10,24,4.68,1.0,1.0,True,9,10,10,CAD,94,10831142,176,False,False,False,False,21.14824,Casa Lava,-86.82724,Cancún,,9,0.9,1,2,13,24,nightly,95,within an hour,171,private_room,4.5,https://www.airbnb.com/rooms/20122417,10,0.9500000000000001
10,14,4.82,1.0,1.0,True,10,10,10,CAD,96,165134200,483,False,False,False,True,21.128763,Habitación cómoda para vacacionar,-86.855164,Cancún,,9,1.0,1,2,11,14,nightly,98,within an hour,181,private_room,5.0,https://www.airbnb.com/rooms/24678476,10,1.0
10,16,4.66,1.0,1.0,True,9,9,10,CAD,93,187638722,317,False,False,False,False,21.15936,Mi Espacio en Cancún,-86.83379,Cancún,,9,1.0,2,3,40,16,nightly,100,within an hour,131,entire_home,4.5,https://www.airbnb.com/rooms/24820220,9,1.0
10,25,4.71,1.0,1.0,True,10,10,10,CAD,94,126301804,215,False,False,False,False,21.15759,RECÁMARA ANONA CANCÚN a 7 min de ZONA HOTELERA,-86.83295,Cancún,,10,1.0,1,2,24,25,nightly,98,within an hour,120,entire_home,4.5,https://www.airbnb.com/rooms/23809351,10,1.0
10,17,4.9,1.0,1.0,True,10,10,10,CAD,98,187638722,317,False,False,False,False,21.16147,Mi Sitio en Cancún,-86.83464,Cancún,,10,1.0,2,3,48,17,nightly,100,within an hour,21,entire_home,5.0,https://www.airbnb.com/rooms/33228966,10,1.0
9,21,4.5,1.0,1.0,True,9,10,10,CAD,90,91917993,380,False,False,False,False,21.184929,Manatee Lagoon House Single Suite 3b,-86.814926,Cancún,,8,0.8,2,4,26,21,nightly,100,within an hour,66,entire_home,4.5,https://www.airbnb.com/rooms/24752474,9,1.0
10,24,4.59,1.0,1.0,True,10,9,10,CAD,92,162530853,326,False,False,False,False,21.1593,DELUXE,-86.82851,Cancún,,10,0.76,1,2,20,24,nightly,100,within an hour,120,entire_home,4.5,https://www.airbnb.com/rooms/23078503,9,0.9
9,25,4.68,1.0,1.0,True,10,9,10,CAD,94,104900617,269,False,False,False,True,21.154005,Comfortable & Spacious Room with Air Conditioner,-86.824165,Cancún,,10,0.85,1,2,12,25,nightly,100,within an hour,66,private_room,4.5,https://www.airbnb.com/rooms/29513553,9,0.9500000000000001
9,22,4.38,1.0,1.0,True,9,10,8,CAD,88,54884467,513,False,False,False,False,21.14912,Cancun Malecon Americas,-86.82649,Cancún,,9,1.0,1,2,18,22,nightly,94,within an hour,228,private_room,4.5,https://www.airbnb.com/rooms/10632353,9,0.89
10,16,4.96,1.0,1.0,True,10,10,10,CAD,99,217426970,51,False,False,False,True,21.1524,Villa Caribeña,-86.85041,Cancún,,10,1.0,1,2,16,16,nightly,100,within an hour,51,private_room,5.0,https://www.airbnb.com/rooms/28833559,10,1.0
10,18,4.54,1.0,1.0,True,10,10,10,CAD,91,91917993,380,False,False,False,False,21.184961,Manatee Lagoon House  Single Suite 4b,-86.81501,Cancún,,9,0.8,1,2,26,18,nightly,100,within an hour,39,entire_home,4.5,https://www.airbnb.com/rooms/24761114,9,1.0
10,21,4.65,1.0,1.0,True,10,9,10,CAD,93,128623591,632,False,False,False,False,21.15327,PRIVATE ROOM. A / C. BREAKFAST. PRIVATE ACCESS,-86.85548,Cancún,,9,0.8,2,3,18,21,nightly,100,within an hour,194,entire_home,4.5,https://www.airbnb.com/rooms/18543147,9,0.9500000000000001
10,21,4.95,1.0,1.0,False,10,10,10,CAD,99,94835591,150,False,False,False,True,21.146681,Habitación privada con balcón vista a la alberca.,-86.842606,Cancún,,10,0.8,1,2,13,21,nightly,100,within an hour,40,private_room,5.0,https://www.airbnb.com/rooms/28312546,10,0.9
10,18,4.72,1.5,1.0,True,10,10,10,CAD,94,68574662,440,False,False,False,False,21.16298,Casa Península-Bienvenido/Welcome Room2 VENTILADOR,-86.84665,Cancún,,9,0.9,1,2,18,18,nightly,100,within an hour,68,private_room,4.5,https://www.airbnb.com/rooms/20713487,9,0.9500000000000001
10,18,4.77,1.0,1.0,True,10,10,10,CAD,95,66920082,584,False,False,False,True,21.14499,Ethnic room #5 by common people,-86.84938,Cancún,,9,1.0,1,2,17,18,nightly,100,within an hour,65,private_room,5.0,https://www.airbnb.com/rooms/25479823,10,1.0
10,14,4.85,1.0,1.0,True,9,10,10,CAD,97,165134200,483,False,False,False,True,21.128769,Estudio privado y cómodo,-86.855202,Cancún,,9,1.0,1,2,9,14,nightly,98,within an hour,130,private_room,5.0,https://www.airbnb.com/rooms/24717072,10,1.0
10,14,4.74,2.0,1.0,True,10,10,10,CAD,95,62942644,372,False,False,False,True,21.13177,.:.CALAKMUL CANCUN.:.  (Room 1),-86.8357,Cancún,,9,0.8,1,3,15,14,nightly,100,within an hour,204,private_room,5.0,https://www.airbnb.com/rooms/11817519,10,0.91
10,17,4.8,1.0,1.0,True,10,10,10,CAD,96,82474666,126,False,False,False,True,21.15947,Basic Room for two | Habitación para dos personas,-86.82752,Cancún,,10,1.0,1,2,17,17,nightly,95,within an hour,30,private_room,5.0,https://www.airbnb.com/rooms/33082529,10,1.0
10,25,4.73,1.0,1.0,True,10,10,10,CAD,95,448818,2269,False,False,False,True,21.165768,CANCUN GUEST HOUSE # 3,-86.828506,Cancún,,10,0.8,1,2,32,25,nightly,100,within an hour,581,entire_home,5.0,https://www.airbnb.com/rooms/190126,10,0.87
10,25,4.73,1.0,1.0,True,10,9,10,CAD,95,1493999,796,False,False,False,True,21.15632,"Private Room in Awesome Location Center, A/C, WiFi",-86.82755,Cancún,,10,0.8200000000000001,1,2,23,25,nightly,100,within an hour,233,private_room,5.0,https://www.airbnb.com/rooms/12862948,10,0.9500000000000001
10,25,4.88,1.0,1.0,True,10,10,10,CAD,98,11910494,78,False,False,False,True,21.16518,Best located & beautiful apartment in Cancún!,-86.83192,Cancún,,10,0.85,1,2,20,25,nightly,90,within an hour,24,entire_home,5.0,https://www.airbnb.com/rooms/32086399,10,0.9500000000000001
