accuracy,amt_w_service,avg_rating,bathrooms,bedrooms,can_instant_book,checkin,cleanliness,communication,currency,guest_satisfication,host_id,host_reviews,is_business_travel_ready,is_fully_refundable,is_new_listing,is_superhost,lat,listing_name,lng,localized_city,localized_neighborhood,location,monthly_price_factor,num_beds,person_capacity,picture_count,price,rate_type,response_rate,response_time,reviews_count,room_type_category,star_rating,url,value,weekly_price_factor
9,22,4.38,1.0,1.0,True,9,10,8,CAD,88,54884467,513,False,True,False,False,21.14912,Cancun Malecon Americas,-86.82649,Cancún,,9,1.0,1,2,18,22,nightly,94,within an hour,228,private_room,4.5,https://www.airbnb.com/rooms/10632353,9,0.89
10,25,4.73,1.0,1.0,True,10,10,10,CAD,95,448818,2267,False,True,False,True,21.165768,CANCUN GUEST HOUSE # 3,-86.828506,Cancún,,10,0.8,1,2,32,25,nightly,100,within an hour,581,entire_home,5.0,https://www.airbnb.com/rooms/190126,10,0.87
10,29,4.77,1.0,1.0,True,10,10,10,CAD,95,117373947,521,False,True,False,True,21.16495,Mi CaSiTa uNo,-86.82905,Cancún,,10,1.0,1,2,10,29,nightly,100,within an hour,324,entire_home,5.0,https://www.airbnb.com/rooms/19036570,10,1.0
10,21,4.95,1.0,1.0,False,10,10,10,CAD,99,94835591,147,False,True,False,True,21.146681,Habitación privada con balcón vista a la alberca.,-86.842606,Cancún,,10,0.8,1,2,13,21,nightly,100,within a few hours,39,private_room,5.0,https://www.airbnb.com/rooms/28312546,10,0.9
10,29,4.94,1.0,1.0,False,10,10,10,CAD,99,26074835,1735,False,True,False,True,21.15504,Explore by foot. Awesome location DWTN. 20mAirpt.,-86.82293,Cancún,,10,1.0,1,2,28,29,nightly,100,within an hour,366,private_room,5.0,https://www.airbnb.com/rooms/10207767,10,0.9
10,26,4.8100000000000005,1.0,0.0,True,10,10,10,CAD,96,183036171,139,False,True,False,True,21.16232,"Cancun Centro Apartment #4
down town Cancún
P Baja",-86.83354,Cancún,,10,0.7000000000000001,1,2,58,26,nightly,100,within an hour,64,entire_home,5.0,https://www.airbnb.com/rooms/24377897,10,0.89
10,32,4.8100000000000005,1.0,1.0,True,10,10,10,CAD,96,66920082,584,False,True,False,True,21.14609,Common people #2 studio,-86.84892,Cancún,,9,1.0,1,2,13,32,nightly,100,within an hour,198,private_room,5.0,https://www.airbnb.com/rooms/16740671,9,1.0
10,24,4.88,1.0,1.0,True,10,10,10,CAD,98,13166302,277,False,True,False,True,21.15151,༄Private Room in Cancún Q·Rooms,-86.842339,Cancún,,10,0.79,1,2,15,24,nightly,100,within an hour,165,private_room,5.0,https://www.airbnb.com/rooms/6415019,10,0.93
10,26,4.88,1.0,1.0,True,10,10,10,CAD,98,160436934,89,False,True,False,True,21.14354,"Estudio privado con A/A, baño, closet y terraza",-86.82699,Cancún,,10,0.72,2,3,6,26,nightly,90,within an hour,88,entire_home,5.0,https://www.airbnb.com/rooms/21974394,10,0.9
9,24,4.67,1.0,1.0,True,10,9,10,CAD,93,1493999,794,False,True,False,True,21.15569,"Private room, Awesome Location Center, A/C, WiFi",-86.82761,Cancún,,10,0.86,1,2,23,24,nightly,100,within an hour,267,private_room,4.5,https://www.airbnb.com/rooms/11969615,9,0.9500000000000001
10,28,4.7,1.0,1.0,True,10,9,10,CAD,94,52196028,258,False,True,False,False,21.157784,Hermoso departamento a 15 minutos de la playa,-86.839554,Cancún,,9,1.0,1,2,15,28,nightly,100,within an hour,106,entire_home,4.5,https://www.airbnb.com/rooms/23730793,9,1.0
10,32,4.91,1.0,1.0,False,10,10,10,CAD,98,26074835,1735,False,True,False,True,21.15324,MasterBDRoom Private Bath. Best Location,-86.823,Cancún,,10,1.0,1,2,28,32,nightly,100,within an hour,138,private_room,5.0,https://www.airbnb.com/rooms/11570240,10,0.9
10,21,4.57,1.0,1.0,True,10,9,10,CAD,91,55980198,199,False,True,False,False,21.16205,(11) Habitación Privada en Cancún Azucenas,-86.82624,Cancún,,10,0.9,1,2,15,21,nightly,100,within an hour,35,entire_home,4.5,https://www.airbnb.com/rooms/30928039,9,0.9
10,24,4.83,1.0,1.0,True,10,10,10,CAD,97,249268026,87,False,True,False,False,21.15286,"CASA MONO , HABITACION MONO TITI",-86.82743,Cancún,,10,1.0,1,2,15,24,nightly,100,within an hour,30,private_room,5.0,https://www.airbnb.com/rooms/33117766,10,1.0
9,26,4.65,1.0,2.0,True,10,10,10,CAD,93,104711197,221,False,True,False,False,21.1375,Sea + Lake (Fully eqquiped apartment),-86.76981,Cancún,,10,0.7000000000000001,2,6,20,26,nightly,100,within an hour,48,entire_home,4.5,https://www.airbnb.com/rooms/22065764,9,0.91
10,22,4.8100000000000005,1.0,1.0,False,10,10,10,CAD,96,107780395,56,False,True,False,True,21.14671,Habitación Privada  con Alberca y Camastros,-86.84276,Cancún,,10,0.9,2,3,9,22,nightly,100,within an hour,52,private_room,5.0,https://www.airbnb.com/rooms/24577793,10,0.97
